Event ID,Event Name,Date,Number of Deaths,Country,Place,Description
1,1807 Newgate disaster,1807-02-23,30,United Kingdom,"Newgate Prison,
London","Dozens of spectators were crushed to death when part of a crowd of around 40,000 witnessing an execution at Newgate Prison surged forward after a wooden cart collapsed."
2,-,1809-03-29,5000,Portugal,"Ponte das Barcas [pt]
Oporto","Thousands of Portuguese civilians died trying to cross the Ponte das Barcas bridge in a desperate attempt to escape the troops of Marshal Soult who were assaulting Oporto during the Napoleonic Wars. The bridge of twenty barges was not able to sustain the weight of such a large amount of people, and collapsed."
3,Carnival tragedy of 1823,1823-02-12,110,Malta,Valletta,About 110 boys died in a crush while attempting to leave the Convent of the Minori Osservanti in Valletta during the Carnival celebrations.
4,Theatre Royal disaster,1849-02-19,65,United Kingdom,"Glasgow, Scotland","A human crush occurred at the Theatre Royal, Dunlop Street, when audience members rushed to escape the building during a fire."
5,-,1865-01-16,20,United Kingdom,"Dundee, Scotland","A crush occurred during admissions into Bell Street Hall for an upcoming promenade. The main entrance for the music hall was a downward flight of stairs with a set of inward opening gates. When the gates were opened, the force of the crowd pushed those in front down the areaway, which caused a pile-up that ultimately killed 20 people, three-quarters being between the ages of 12 and 18."
6,-,1872-10-10,19,Poland,Ostrów Wielkopolski,"19 women and children were killed in a stampede and resulting stairs collapse in a synagogue in Ostrów Wielkopolski during the fast of Yom Kippur. A failure of the gas lighting engulfed a synagogue balcony (apparently, the women's gallery) in darkness, causing panic among the women."
7,Brooklyn Theatre fire,1876-12-05,278,United States,"Brooklyn, New York","Crushes on gallery and balcony staircases during the Brooklyn Theatre fire delayed the evacuation of the building, a contributing factor in the deaths of at least 278 individuals."
8,-,1883-05-30,12,United States,"Brooklyn Bridge, New York","12 people were killed and dozens injured after a woman tripped on the stairway at the Brooklyn Bridge, which had been open for eight days at the time. The crush was exacerbated by fears the bridge was about to collapse."
9,Victoria Hall disaster,1883-06-16,183,United Kingdom,"Sunderland, Tyne and Wear","183 children aged between 3 and 14 were crushed when over 1,100 children surged down a blocked stairway to collect gifts from the entertainers after the end of a variety show in Sunderland."
10,-,1883-10-14,40,Russian Empire,"Ziwonka, Podolia",False shouts of fire in the women's gallery in the synagogue of Ziwonka caused a crush as people rushed towards the exit.
11,Khodynka Tragedy,1896-05-18,1389,Russian Empire,"Khodynka Field, Moscow","A crush of those desiring to get presents during the coronation of Tsar Nicholas II – 1,300 more were injured."
12,Shiloh Baptist Church disaster,1902-09-19,115,United States,"Birmingham, Alabama","The stampede claimed the lives of people attending a convention featuring Booker T. Washington, following a false fire alarm."
13,Iroquois Theatre Fire,1903-12-30,602,United States,"Chicago, Illinois",Many people died of crush asphyxiation in the rush to escape.
14,Barnsley Public Hall Disaster,1908-01-11,16,United Kingdom,"Barnsley, South Yorkshire",The 16 who died were children.
15,Collinwood school fire,1908-03-04,175,United States,"Collinwood, Ohio","One rescue worker, two teachers, and 172 children between the ages of five and fifteen were killed. Most of the children were killed in a stairwell when some were trying to escape down the stairs while others, who had found escape impossible that way, were trying to flee up the stairs."
16,Italian Hall Disaster,1913-12-24,73,United States,"Calumet, Michigan","People were crushed to death, and the event is considered the source for the often-cited legal limit of protected speech, i.e., that one may not falsely shout ""Fire!"" in a crowded theater."
17,Bolivar crowd crush [fr],1918-03-11,65,France,"Bolivar station, Paris, France","Following a bomb attack during World War I, Parisians tried to enter the station, but the gates down the stairs only opened to the outside. The first rows of the crowd were crushed or suffocated by those behind them. Between sixty and seventy people died in this crush."
18,Glen Cinema disaster,1929-12-31,71,United Kingdom,"Paisley, Renfrewshire",The Glen Cinema disaster was caused by a smoking film canister in the cinema. The resulting panic and crush killed 69 children and injured 40; the final death toll was 71.
19,Kyoto Railroad Station Tragedy,1934-01-08,76,Japan,Kyōto Station,"A crowd of about 10,000 saying farewell to 750 recruits of the Imperial Japanese Navy collapsed at the bottom of a stairway from a viaduct leading over the tracks down to the platform. The number far exceeded the station's capacity."
20,-,1942-10-23,354,Italy,Genoa,"People were killed by stampede during an attack by the RAF Bomber Command in WWII as they made their way into Galleria delle Grazie, a railway tunnel in use as an air-raid shelter. Rushing down the 150 steps leading underground into the shelter, people fell on top of one another in a crush, accounting for the extremely heavy toll of the stampede."
21,Bethnal Green tube station disaster,1943-03-03,173,United Kingdom,London,"People were entering the station during an air-raid alert, and a woman holding a child lost her footing and fell down the stairs, leading to the crowd falling around her in a crush."
22,Hartford circus fire,1944-07-06,168,United States,"Hartford, Connecticut","A fire broke out at a performance of the Ringling Brothers and Barnum & Bailey Circus, killing between 167 and 169 people. Many died after being trampled by other spectators, with some asphyxiating underneath the piles of people who fell over each other. Most of the dead were found in piles, some three bodies deep, at the most congested exits. A small number of people were found alive at the bottoms of these piles, protected by the bodies on top of them when the burning big top ultimately fell down."
23,Burnden Park disaster,1946-03-09,33,United Kingdom,Bolton,"At an FA Cup Quarter-final, people were killed when the collapse of two crash barriers in an overcrowded stand led to the crowd falling forward upon each other."
24,-,1952-04-09,53,Venezuela,Caracas,"50 people were trampled to death when a ""terrorist"" or a group of thieves shouted ""Fire!"" in the Santa Teresa church. 40 people were arrested in connection with the stampede. Two men who were arrested on the day of the stampede were released. Police chief Aníbal Rojas said that the stampede started when an elderly devotee brushed against the veil which was holding candles in head, making a small fire, the small flare made someone believe that a fire spread and gave the alarm."
25,Stalin funeral stampede,1953-03-09,109,"Russia, USSR",Moscow,A stampede in Trubnaya Square in Moscow during the state funeral of Joseph Stalin.
26,1954 Kumbh Mela stampede,1954-02-03,650,India,"Kumbh Mela, Allahabad","A surging crowd broke through the barriers separating them from a procession of sadhus and holy men of various akharas, resulting in a stampede."
27,-,1956-01-01,124,Japan,Yahiko,People were killed during the New Year panic and stampede at the Yahiko Shinto shrine in central Niigata.
28,Estadio Nacional disaster,1964-05-24,328,Peru,Estadio Nacional de Lima,"In the worst disaster in association football history home fans disputing a referee's decision began a pitch invasion and the Peruvian police fired tear gas canisters into one of the grandstands to prevent further fans from invading the field of play, causing panic so that departing spectators moved down the enclosed stairways, pressing those in the lead against solid corrugated steel shutters at the bottom of tunnels, which were closed. The shutters finally burst outward from pressure of the crush of bodies inside. All of those that died were killed in the jammed stairwells, most from internal haemorrhaging by crushing pressure, or by asphyxia. An additional 500 people were injured, many critically."
29,Puerta 12 Tragedy,1968-06-23,71,Argentina,"El Monumental Stadium, Buenos Aires","Fans were caught in a crush at the bottom of the stairs leaving through Gate 12 (Puerta 12 in Spanish). The exact cause for this crowd collapse is not known for certain, though rival fans might have been throwing burning paper, causing an escape panic. Other accounts say that the gate was closed, either by police or by other fans, intentionally or unintentionally. Still others argue that it was a simple matter of too many fans going through a gate that was narrower than the staircase leading to it. The Puerta 12 Tragedy remains the deadliest sports-related event in Argentine history."
30,Second Ibrox Disaster,1971-01-02,66,United Kingdom,"Ibrox Stadium, Glasgow","People were killed when the collapse of stairway barriers occurred after someone fell as fans were leaving the stadium, leading to a crush. The tragedy included many children who died, and most of the deaths were caused by compressive asphyxia, with bodies being stacked up to six feet deep in the area. More than 200 others were injured."
31,1979 The Who concert disaster,1979-12-03,11,United States,"Riverfront Coliseum, Cincinnati",People were killed during a crush at a concert by The Who. The incident led to a reduced use of festival seating at U.S. venues.
32,-,1980-07-09,7,Brazil,"Fortaleza, Ceará","On the 10th day of Pope John Paul II's visit to Brazil, in an effort to get good seats, the crowd at the Castelao Stadium broke down an unguarded gate and trampled those killed in the rush."
33,Karaiskakis Stadium disaster,1981-02-08,21,Greece,"Karaiskakis Stadium, Piraeus","While some fans were exiting the stadium, some lost their balance and fell on the last steps; soon dozens fell onto each other and were stepped over by a horde of unsuspecting fans who kept coming. 19 people died at the scene, while two more died of their wounds in hospital. At least 55 were wounded."
34,Luzhniki disaster,1982-10-20,66,"Russia, USSR","Luzhniki Stadium, Moscow","A crush began after a person fell and a dense moving crowd, their direction limited by metal banisters, pushed over the fallen, crushing them. Others stumbled over the bodies in a domino effect creating a large chain-reaction pile-up of people."
35,Heysel Stadium disaster,1985-05-29,39,Belgium,"Heysel Stadium, Brussels","A crush occurred by a collapsing wall when fans escaping a confrontation between competing fan groups were pressed against it in the stadium before the start of the 1985 European Cup Final. 600 were injured, and the disaster was later described as ""the darkest hour in the history of the UEFA competitions""."
36,-,1987-12-26,28,China,"Chengguan Primary School, Shanyang County","In the Chengguan Primary School, at around 7 a.m., children rushed out of their classrooms after a bell called all pupils to attend a weekly school assembly on the sports field. One metal door at one end of the building was locked, causing the children from all 18 classes to rush down an unlighted stairwell to the only other exit, and some in the front fell over; within minutes, four children were dead and 100 more were injured; more died in the hospitals, raising the death toll to 28, while 60 remained hospitalized, eight seriously injured."
37,Kathmandu stadium disaster,1988-03-13,93,Nepal,Dasarath Rangasala Stadium,"When fans at Nepal's national football stadium stampeded for the exits during a hailstorm, they surged towards the only cover (the west stand). The crowd was beaten back by police, but when they returned to the south terrace, a crush developed in a tunnel exit through the terrace and could not escape because the stadium doors were locked, causing a fatal crush at the front of the crowd. 100 more were injured."
38,-,1988-08-20,2,United Kingdom,Donington Park,"Fans died during a Guns N' Roses concert at a Monsters of Rock festival where they were crushed to death after a 50-person crowd collapse following a surge, 15 yards from the stage. Rolling Stone reported the band members said they stopped playing several times to try to calm fans. Upon exiting the stage, Axl Rose shouted to fans to have a good day and ""... don't kill yourselves,"" but was unaware of the deaths at the time. The head of concert security, present at the scene, wrote a presentation paper about the event for a seminar on mass crowd events."
39,Hillsborough disaster,1989-04-15,97,United Kingdom,"Hillsborough Stadium, Sheffield","In one of the world's worst football disasters, 766 people were injured, in addition to the people who died. The intensity of the crush broke the crush barriers on the terraces, while those trapped were packed so tightly in the pens that many victims died of compressive asphyxia while still standing. The 1990 official inquiry concluded that the primary cause was the failure of police control, as too many people were let into the stadium. A 2012 reinvestigation concluded that crowd safety was compromised at every level by lack of police control."
40,1990 Mecca tunnel tragedy,1990-07-02,1426,Saudi Arabia,"Mina, Mecca","A blockage at an exit of a pedestrian tunnel (Al-Ma'aisim tunnel) leading out from Mecca towards Mina, Saudi Arabia and the Plains of Arafat led to deaths by suffocation of many religious pilgrims while they were traveling to perform the Stoning of the Devil ritual during the Hajj."
41,Orkney Stadium Disaster,1991-01-13,40,South Africa,"Oppenheimer Stadium, Orkney","People were killed at a football match attended by about 30,000 fans in a stadium with a capacity for 23,000. When brawls broke out, people panicked, and trying to escape, were crushed against riot-control fences in the melee."
42,AC/DC crowd crush,1991-01-24,3,United States,"Salt Palace (arena), Salt Lake City","3 people were killed at an AC/DC concert attended by 13,294 fans in an arena, with 4,400 of those had “festival style seating.” Two 14-year-old boys and a 19-year-old woman were crushed to death as the crowd surged toward the stage as the band played ""Thunderstruck."""
43,-,1991-02-13,42,Mexico,Chalma sanctuary,"Beyond those who died, an additional 55 religious pilgrims were injured after being overwhelmed by a crowd trying to enter the atrium of the sanctuary church to receive the divine signal from the ashes. The crowd pushed on for access to the atrium, with most of the dead and injured being trampled."
44,1991 Taiyuan Illumination show stampede (Chinese),1991-09-24,105,China,"Jikong Bridge, Shanxi Province","In a major festival in Taiyuan, China, large crowds of unknown size arrived in Yingze Park to see lanterns at a light festival. Crowds moving in opposite directions were crossing a poorly lit bridge. Some fell into the water and were drowned; others were killed in the crowd collapse and crush on the west side of the bridge. In all, 105 people were killed and 108 more were injured."
45,-,1991-12-28,9,United States,City College New York,"At an oversold charity basketball game featuring rap stars, nine people were killed and 29 others injured while entering an overcrowded gymnasium while funneling through a small stairwell area."
46,Lan Kwai Fong Tragedy,1993-01-01,21,British Hong Kong,Lan Kwai Fong,"People were killed and 67 injured as a crowd of 15,000 to 20,000 revellers celebrated New Year's Eve in the Hong Kong night-club district, controlled by 118 police officers. The victims were mostly teenagers and young people in their 20s. The Independent reported witnesses as saying it was impossible to distinguish between the yelps of the partying crowd and the victims' agonized screams."
47,The Camp Randall Crush,1993-10-30,0,United States,"Camp Randall Stadium, Madison, Wisconsin","73 student fans were injured by a crowd crush, six critically, when students charged the field in celebration after Wisconsin Badgers football game."
48,1994 Hajj stampede,1994-05-23,270,Saudi Arabia,"Jamarat Bridge, Mecca",Religious pilgrims were killed and injured during a stampede at the stoning of the Devil ritual.
49,1994 Gowari stampede,1994-11-23,113,India,"Nagpur, Maharashtra","Gowari people in a political protest, mostly women and children, perished in a stampede triggered by the cane-wielding police who attempted to prevent the estimated crowd of 40,000 from pressing towards the Vidhan Bhavan, Nagpur. 500 more people were injured."
50,Arad Festival disaster,1995-07-18,3,Israel,Arad,"In a music festival a large crowd was pushed against a gate, causing it to collapse, killing 2 people instantly and injuring another who later died of her injuries."
51,The 16 October disaster,1996-10-16,83,Guatemala,"Estadio Mateo Flores, Guatemala City","In addition to those who died, 147 more people were injured on the steep stadium stairway prior to the World Cup qualifying match. The crowd was estimated at 50,000 in the stadium designed to seat 37,500."
52,Hogmanay New Year Celebration,1997-01-01,1,Scotland,Edinburgh,"A densely packed crowd of 350,000 gathered in Edinburgh for the annual celebration. Barriers and railings were bent down by crowd pressure. Thirty-four suffered crush and trample injuries, and one was treated for asphyxia. *This event is notable due to the number of crowd injuries and the size of the crowd."
53,-,1998-04-09,118,Saudi Arabia,"Jamarat Bridge, Mecca","Hajj pilgrims were trampled to death, 180 more injured in an incident on Jamarat Bridge."
54,1999 Sabarimala stampede,1999-01-14,53,India,"Sabarimala shrine, Kerala","When a landslide caused a cave-in at a temple during a Hindu pilgrimage on the day of Makara Jyothi, panic ensued and 200,000 male devotees stampeded as the hill upon which they stood collapsed into the temple. The BBC reported that ""Some of the dead were buried in the collapse, but most died in a stampede to avoid the landslide."""
55,Nyamiha disaster,1999-05-30,53,Belarus,"Nemiga metro station, Minsk","A sudden thunderstorm caused a number of young people to race for nearby shelter during an open-air concert. The stampede was funneled toward the underpass of the metro station and many people were killed in the crush when they started slipping on the wet pavement, falling and trampling each other."
56,"""Air & Style"" crowd crush",1999-12-04,6,Austria,Bergisel stadium in Innsbruck,"""Severe crowd accumulation"" at one exit went unrecognized. Darkness, a steep slope and a slippery surface were contributing factors, but ""panic did not occur at any time."" Six were killed, four were left in a vegetative state, and 38 were injured."
57,Roskilde Festival disaster,2000-06-30,9,Denmark,Roskilde,"Nine people were crushed after falling as the crowd rushed the stage. Another 26 people were injured, 3 of them seriously."
58,-,2000-07-09,12,Zimbabwe,"National Sports Stadium, Harare",Twelve spectators at a World Cup qualifier died trying to leave the stadium after police fired tear gas to control the crowd.
59,-,2001-03-05,35,Saudi Arabia,Mina,"35 Hajj pilgrims were trampled to death in a stampede during the Stoning of the Devil ritual in Mina, Saudi Arabia."
60,Ellis Park Stadium disaster,2001-04-11,43,South Africa,Johannesburg,"43 people were crushed in the Ellis Park Stadium disaster in Johannesburg, South Africa."
61,Accra Sports Stadium disaster,2001-05-09,127,Ghana,Accra Sports Stadium,"127 killed at a football match between Kumasi Asante Kotoko and Accra Hearts of Oak in Accra Sports Stadium, Ghana after police fired tear gas at rioters."
62,Akashi crowd crush,2001-07-21,11,Japan,"Akashi, Hyōgo","11 people killed and 247 injured by a crowd crush after a fireworks show in Akashi, Hyōgo."
63,-,2001-12-21,7,Bulgaria,Sofia,"7 children, aged 10 to 14, were crushed to death on the stairway leading to the entrance of a discothèque in Sofia, Bulgaria."
64,-,2003-02-11,14,Saudi Arabia,Mina,The Stoning of the Devil ritual claimed 14 pilgrims' lives.
65,2003 E2 nightclub stampede,2003-02-17,21,United States,"Chicago, Illinois","21 people were killed in the stairway exit to E2, a nightclub in Chicago, Illinois, after a pepper spray was used on an upper-story dance floor."
66,The Station nightclub fire,2003-02-20,100,United States,"West Warwick, Rhode Island","100 killed in The Station nightclub fire in West Warwick, Rhode Island, many of them trampled."
67,2004 Hajj stampede,2004-02-01,251,Saudi Arabia,Mina,251 people were killed at Jamarat Bridge in Mecca during the stoning of the devil.
68,2004 Miyun stampede,2004-02-05,37,China,"Miyun County, Beijing","At least 37 people were killed and 15 were injured when a crowd stampeded during Lantern Festival in Mihong Park, Miyun County, Beijing, China."
69,Saree Stampede,2004-04-12,21,India,Lucknow,"At least 21 women were killed in a stampede after people rushed to collect free sarees in Lucknow, India. Referred to as Saree Stampede."
70,-,2004-09-01,3,Saudi Arabia,Jeddah,Three died in a Saudi IKEA shop stampede.
71,Mandher Devi temple stampede,2005-01-25,291,India,Maharashtra,"291 people were killed as Hindu pilgrims stampeded near Mandhradevi temple in Maharashtra, India."
72,-,2005-03-25,7,Iran,Tehran,"7 people killed in a stampede after Iran-Japan match (2006 FIFA World Cup qualification) when leaving Azadi Stadium, Tehran, Iran."
73,Baghdad bridge stampede,2005-08-31,953,Iraq,Baghdad,At least 953 people were killed in the Baghdad bridge stampede.
74,2005 December Chennai stampede,2005-12-18,42,India,Chennai,42 people were killed as flood relief supplies were handed out to homeless refugees in southern India.
75,2006 Hajj stampede,2006-01-12,345,Saudi Arabia,Mina,345 were killed at Jamarat Bridge in Mecca during the stoning of the devil.
76,-,2006-02-04,3,Brazil,São Paulo,"3 people were killed during a stampede at an overcrowded concert by Mexican group RBD in São Paulo, Brazil. The concert took place at a supermarket parking lot."
77,PhilSports Arena Stampede,2006-02-04,78,Philippines,Metro Manila,78 people were killed in the PhilSports Arena stampede in the Philippines. The place was the location of the first anniversary of ABS-CBN's Wowowee.
78,-,2006-09-12,51,Yemen,Ibb Governorate,"51 were killed and more than 200 injured at a stampede in Ibb Governorate, Yemen."
79,-,2007-06-02,12,Zambia,Chililabombwe,"12 people were killed during a stampede at the end of a football game between Zambia and Republic of Congo in Chililabombwe, Zambia."
80,-,2007-10-03,14,India,Mughalsarai,At least 14 women were crushed to death at a train station in northern India.
81,-,2007-10-05,6,North Korea,Sunchon,"After a crowd of 15,000 watched a public execution in a stadium in Sunchon, North Korea, 6 people were crushed to death and 34 injured."
82,-,2007-11-11,3,China,Chongqing,"3 people were killed and more than 30 injured at the Supermarket Carrefour in Chongqing, China when the shop was offering 20% discounts on cooking oil."
83,"Tragedi AACC (AACC Tragedy), Sabtu Kelabu (Dark Saturday)",2008-02-09,11,Indonesia,Bandung,"11 people were killed at the launching album concert of a Bandung metal band, Beside.[circular reference]"
84,-,2008-03-27,9,India,"Ashok Nagar, Madhya Pradesh",9 people were killed and more than a dozen people were injured at an Indian temple crush during a pilgrimage.
85,New's Divine nightclub tragedy,2008-06-20,12,Mexico,Mexico City,At least 12 people were killed and 13 injured at a Mexico City nightclub stampede during a police raid.
86,Naina Devi stampede,2008-08-03,142,India,Himachal Pradesh,"At least 142 people were killed and 47 injured in a stampede at the Naina Devi temple in Himachal Pradesh in mountainous northern India after a rain shelter collapsed, which worshipers mistakenly took to be a landslide."
87,-,2008-09-14,11,DRC,Butembo,"At least 11 people were killed when a riot was dispersed by tear gas during a football match in Butembo, Democratic Republic of the Congo."
88,2008 Jodhpur stampede,2008-09-30,224,India,Jodhpur,"224 people were killed and 425 were injured during the Jodhpur stampede at the Chamunda Devi temple in Jodhpur, India. The tragedy was caused by a rumor that a bomb was planted in the temple complex. Local authorities, however, blamed steep, slippery slopes leading to the temple."
89,-,2008-10-02,20,Tanzania,Tabora,About 20 children died in a stampede in an overcrowded children's dance hall in Tanzania.
