Event ID,Event Name,Date,Number of Deaths,Country,Place,Description
90,-,2008-11-28,1,United States,Long Island,A worker died at a Long Island Wal-Mart after being trampled in a Black Friday Wal-Mart Stampede.
91,Houphouët-Boigny Arena stampede,2009-03-29,19,Côte d'Ivoire,Abidjan,19 people were killed and 130 injured in the Houphouët-Boigny Arena stampede at a football stadium in Côte d'Ivoire as fans tried to squeeze into the stadium for a World Cup qualifier.
92,-,2009-09-09,5,India,Delhi,"Five students were killed and 33 injured, all adolescent girls, at a Government Secondary School in Delhi, India. Students had arrived at school in pouring rain, and a panic was triggered by a rumor that accumulated rainwater had become electrically charged. A crush occurred on a stairway when opposing traffic overwhelmed the capacity of the stairway."
93,2009 Millennium Point stampede,2009-11-15,0,United Kingdom,Birmingham,"While there were no fatalities, approximately 60 people suffered injuries in the 2009 Millennium Point stampede when a crowd of over 20,000 turned up (only 5,000 had been planned for) at an outdoor area near the Millennium Point complex in Birmingham, UK. As attendees attempted to get closer to the stage, a surge forward resulted in the collapse of crowd control barriers, with some concert-goers trapped beneath them. The remainder of the event was cancelled in the interest of public safety."
94,-,2009-12-08,8,China,"Xiangxiang city, Hunan","Seven boys and one girl aged between 11 and 14 years old were killed and 26 injured in result of a crush in Yucai Middle School in China. Fifty-two evening classes were dismissed at the same time, and the crush occurred when most of the students tried to exit down the same stairwell. It was raining outside, and that particular stairwell was closest to the dormitories."
95,Pratapgarh stampede,2010-03-04,71,India,"Kunda Pratapgarh, Uttar Pradesh","At least 71 were killed and over 200 injured at Ram Janki Temple, in Kunda Pratapgarh, Uttar Pradesh, India, in a stampede after the gates of the temple collapsed."
96,-,2010-05-04,0,Netherlands,Amsterdam,"63 people were injured when a panic-driven stampede broke out during the Remembrance of the Dead ceremony on Dam Square, Amsterdam."
97,-,2010-06-06,0,South Africa,"Tembisa, Johannesburg",14 people were injured when fans rushed to get inside Makhulong Stadium after free tickets were given out to a friendly soccer match between Nigeria and North Korea.
98,Love Parade disaster,2010-07-24,21,Germany,Duisburg,"21 people were killed and more than 500 were injured during crowd turbulences at the Love Parade in Duisburg, Germany."
99,Phnom Penh stampede,2010-11-22,347,Cambodia,Phnom Penh,A stampede during a water festival near Cambodia's royal palace in Phnom Penh killed at least 347 people.
100,2011 Sabarimala stampede,2011-01-15,102,India,Kerala,"102 people died and 100 were injured during a stampede near Sabarimala temple in Kerala, India."
101,-,2011-01-15,3,Hungary,Budapest,"3 women died and 14 people were injured in a crush at the severely overcrowded West Balkans discothèque in Budapest, Hungary. Police found no evidence of violence, or threat of violence, and said there was no panic in the crowd. The three women died of suffocation, and none bore signs of violence, though one had amphetamine in her blood, which police said might have delayed her realization of the severity of the emergency. Approximately 2,500 patrons were in a club with certified capacity of 307. A total of 2,881 tickets had been sold for the event, and 4,000 had been printed. Five people were arrested, including the event promoters and the club owners. All were released, and a sixth person was arrested within two weeks, when the club was closed permanently. The three deaths were ruled to be the result of ""human irresponsibility""."
102,-,2011-02-12,12,Nigeria,Port Harcourt,"At least 12 people were killed in a crush trying to leave a PDP political rally in Port Harcourt, Nigeria, after guards at the event did not open a larger gate, and shot into the air to try to disperse the crowds."
103,-,2011-10-19,2,United Kingdom,Northampton,2 People killed in nightclub exit crush at Lava Ignite Northampton after public-address system announcements that people would miss their return coaches unless they left immediately. Overcrowding and a fire alarm contributed to a crush on the stairs. The company responsible for the venue Luminar Leisure entered administration shortly after.
104,-,2011-11-08,16,India,Haridwar,"16 people were killed at Haridwar, India during a religious ceremony on the banks of Ganges river."
105,-,2011-11-22,2,Indonesia,Jakarta,"During a sold-out soccer final for the Southeast Asian Games at Gelora Bung Karno stadium, fans without tickets waiting outside rushed in when a gate was temporarily opened"
106,-,2012-01-10,1,South Africa,Johannesburg,One person died and twenty were injured in a crush at the front gates of the University of Johannesburg after they had begun processing application for their remaining university slots.
107,Port Said Stadium riot,2012-02-01,74,Egypt,Port Said,"In the Port Said Stadium, Al Masry fans attack Al-Ahly fans, caused a stampede with an outcome of 74 dead and 200 injured."
108,-,2012-03-18,3,Egypt,Cairo,"Thousands of mourners gathered in Cathedral Square in the Abbassiya section of Cairo, Egypt, to view the body of Coptic Pope Shenouda III of Alexandria, forming a one km long queue. Three were killed and 137 injured in a crush. Viewing was cut short and the cathedral was closed to the public as a result of the incident. More than two million were expected to converge on Abbassiya for the funeral, which would be held several days later."
109,-,2012-11-01,5,Spain,Madrid,"5 girls died in a panic-driven stampede during a Halloween party at a municipal arena of the city of Madrid, Spain."
110,-,2012-11-19,18,India,"Patna, Bihar","A stampede occurred during Chhath Puja at the Adalat Ganj area ghat in Patna. At least 20 more were also injured, several critically. While it was originally believed that a collapsed bamboo bridge was the cause, later investigations determined that electricity being cut to the ghat was what led to panic."
111,2013 Houphouët-Boigny stampede,2013-01-01,60,Côte d'Ivoire,Abidjan,"60 people were killed, including 26 children, and more than 200 injured in a stampede at the Stade Félix Houphouët-Boigny during a New Year's fireworks celebration in Abidjan, Ivory Coast."
112,-,2013-01-01,10,Angola,Luanda,"10 people were killed and 120 injured in Luanda, Angola, as they tried to enter the overcrowded Estádio da Cidadela for a New Year's Eve vigil."
113,Kiss nightclub fire,2013-01-27,242,Brazil,Santa Maria,"At least 242 people were killed and 168 injured as a result of a nightclub fire in the city of Santa Maria, south region of Brazil. According to local authorities the fire began on stage after members of the band flared a pyrotechnic device that ignited flammable acoustic foam in the ceiling. Other reasons for the high death toll included the lack of emergency exits and the excessive number of people present."
114,2013 Kumbh Mela stampede,2013-02-10,36,India,Allahabad,"During the Hindu festival Kumbh Mela, a stampede broke out at the train station in Allahabad, Uttar Pradesh, India, killing 36 people and injuring 39."
115,-,2013-05-19,4,Nigeria,Lagos,"4 people were killed, and at least 13 people were injured, during a stampede of churchgoers trying to get free holy water that was being distributed at the Synagogue, Church of All Nations in Lagos, Nigeria."
116,-,2013-07-14,17,Indonesia,"Nabire, Papua",17 spectators were killed escaping the Kota Lama Sport Stadium when a riot broke after a local boxing competitor lost.
117,2013 Madhya Pradesh stampede,2013-10-13,115,India,Madhya Pradesh,"During the Hindu festival Navratri, a stampede broke out near the Ratangarh Mata Temple in Datia district, Madhya Pradesh, India, killing 115 people and injuring more than 100."
118,-,2013-11-02,28,Nigeria,"Uke, Anambra state","Shortly after a vigil at the Holy Ghost Adoration Center, Uke in Anambra, Nigeria, at least 28 people were killed, and 200 injured in a crush on one of the narrow roads leading out of the town, though the center was over capacity."
119,-,2014-01-05,14,China,"Xiji County, Ningxia","14 people were killed in a stampede at the Beida Mosque in Xiji County of Ningxia, China, due to mismanagement of crowds at the commemoration of a late religious figure."
120,2014 Mumbai stampede,2014-01-18,18,India,Mumbai,"18 people were killed, and at least 40 more were injured, when crowds coming to mourn Syedna Mohammed Burhanuddin became trapped against a gate at his residence."
121,2014 Nigeria Immigration Recruitment Tragedy,2014-03-15,24,Nigeria,Various,"Between 16 and 24 recruits were killed and more than 119 were injured at several stadiums and other venues across Nigeria when 520,000 applicants were invited to take the aptitude test and physical exercises in order to get one of 4,556 available positions with the Nigerian Immigration Service. As many as one million might have shown up for the event at one of its 37 sites. In many cases, security forces fired their rifles into the air for crowd control, which triggered deadly panics. In at least one location the release of teargas had the same effect. In several locations there was no effective queuing, and all candidates had to enter the stadium through a single door."
122,-,2014-04-25,14,DRC,Kikwit,"During a memorial concert for King Kester Emeneya, at least 14 people died when power was lost to the stadium and a crush formed at the exit."
123,2014 Stade Tata Raphaël disaster,2014-05-11,15,DRC,Kinshasa,At least 15 people died at a soccer match between TP Mazembe and Vita Club when police fired a tear gas canister in order to control the crowds.
124,-,2014-07-29,34,Guinea,"Ratoma, Conakry",At least 34 people were killed at the end of a rap concert after the attendees tried to leave the venue through a small gate.
125,2014 Patna stampede,2014-10-03,32,India,Patna,"At least 32 people were killed and 26 injured in a stampede shortly after the Dasehra celebrations at the Gandhi Maidan, Patna, India."
126,2014 Multan stampede,2014-10-10,7,Pakistan,Multan District,"At least seven people died and 40 were injured as a result of a stampede at Qasim Bagh Stadium in Multan, Pakistan after the speech of Pakistan Tehreek-e-Insaf chairman, Imran Khan. The opposition leader alleged that only two gates of the venue were opened at the end of the rally and the lights were also switched off, but this was later denied by the DCO and local authorities."
127,Kwekwe stadium stampede,2014-11-21,11,Zimbabwe,Kwekwe,"11 people died and 40 people were injured after a stampede in a stadium in Kwekwe, Zimbabwe."
128,2014 Shanghai stampede,2014-12-31,36,China,Shanghai,"36 people died and 42 people were injured after a stampede during New Year's celebrations at The Bund, in Shanghai, China."
129,30 June Stadium Stampede,2015-02-08,28,Egypt,Cairo,"28 people died after a stampede that occurred at a football game in Cairo, Egypt."
130,2015 Haiti Carnival stampede,2015-02-17,16,Haiti,Port-au-Prince,"More than 16 people died after a stampede occurred during the Shrove Tuesday festival in Port-au-Prince, Haiti after a man was shocked by high-voltage wires."
131,-,2015-07-09,23,Bangladesh,Mymensingh,At least 23 people were killed and 50 injured following a stampede at a free clothing drive in the northern Bangladeshi city of Mymensingh.
132,-,2015-07-14,27,India,"Godavari River, Andhra Pradesh",At least 27 pilgrims died in a stampede on the banks of the Godavari River in the southern Indian state of Andhra Pradesh. The Hindu pilgrims had gathered to take a dip in the river at the start of the Maha Pushkaralu festival.
133,-,2015-08-10,11,India,Jarkhand,"11 people died and at least 50 more were injured when people rushing the queue crushed those who fell and were asleep, at the Baidyanath Temple in Jharkhand, India."
134,2015 Mina stampede,2015-09-24,2500,Saudi Arabia,Mina,"At least 769 Muslim pilgrims were killed in Mina, Saudi Arabia in an overcrowding incident during the Hajj pilgrimage. A further 934 were injured. The overall number of pilgrims is around 2 million according to the Saudi authorities, which is far less than the number of pilgrims in previous years (Haj / Pilgrim quotas of all countries were reduced due to ongoing construction work at the main Masjid Al-Haraam)."
135,-,2015-10-14,3,Poland,Bydgoszcz,"A stampede during a party at the local university resulted in three deaths and over a dozen injuries in Bydgoszcz, Poland."
136,-,2015-10-25,12,Afghanistan,Taloqan,"Twelve girls aged ten to fifteen were killed and another 42 were injured in a crush on a stairway while trying to escape their school building in Taloqan, Afghanistan during a major earthquake."
137,-,2015-11-15,0,Malta,Paceville,"While there were no fatalities, 74 people were injured, 2 of them critically, when a glass stairwell railing collapsed during a stampede out of the +1 Club in Paceville, Malta."
138,2016 Ethiopian protests,2016-10-02,300,Ethiopia,Various,"52 to 300 people were killed during the annual thanksgiving festival of the Oromo people in Ethiopia after police confronted protesters during the 2016 Ethiopian protests, resulting in a human stampede. The opposition political party in Ethiopia, Oromo Federalist Congress, claims the number of people confirmed dead was 678. While the government claims only tear gas and rubber bullets were fired by security forces on the ground as well as from the helicopter, eyewitness as well as some videos allegedly from the scene show security forces firing what seemed to be live rounds of ammunition."
139,-,2016-10-15,24,India,Varanasi,"At least 24 people were killed near the Rajghat Bridge when many times the expected number of people were heading towards a religious retreat, causing a crush, and later a stampede due to rumors that the bridge had collapsed."
140,-,2017-01-14,6,India,Sagar Island,"Six people died while trying to board vessels to Kolkata, ahead of high tide, after a religious festival on the island of Sagar."
141,-,2017-02-10,17,Angola,Uíge,"At least 17 people were killed, and at least 61 others injured, during a stampede in Uíge's Estádio 4 de Janeiro ahead of the opening match of the new Angola football season while trying to enter the stadium before a match between Santa Rita de Cássia FC and Recreativo do Libolo."
142,-,2017-03-06,8,Zambia,Lusaka,"At least eight people were killed while 28 others were injured during a stampede over food aid, held by a church group in Zambia's capital, Lusaka."
143,-,2017-03-11,2,Argentina,Olavarría,"Two people were killed and a dozen more injured during an overcrowded concert in Olavarría, Argentina."
144,-,2017-03-22,2,China,Puyang,"Two children died and 20 more were injured in a stampede during a passing period at a primary school in Puyang of Henan Province, China."
145,Resorts World Manila attack,2017-06-02,40,Philippines,"Pasay, Metro Manila",40 people dies as a result of a crush during the evacuation of the Resorts World Manila after a gunman stormed in and set fire to casino tables and slot machine chairs.
146,2017 Turin stampede,2017-06-03,3,Italy,Turin,"Three person were killed and more than 1,500 others were injured when panic erupted during a screening of the UEFA Champions League Final in Turin, Italy."
147,-,2017-07-06,8,Malawi,Linongwe,"At least eight people were killed, seven of whom were children and at least another 40 persons injured, during a stampede at the Bingu National Stadium in Malawi's capital city Lilongwe during the nation's independence day celebrations while trying to enter the stadium before a match between Nyasa Big Bullets and Silver Strikers F.C.."
148,-,2017-07-15,8,Senegal,Dakar,"Eight people were killed, and 60 were seriously injured in a stadium crush when a wall collapsed at Demba Diop stadium in the capital Dakar as police fired tear gas at both sets of fans after a League Cup final game between US Ouakam and Stade de Mbour."
149,-,2017-07-29,2,South Africa,"Nasrec, Johannesburg","Two people were killed, and 17 were injured in a stadium crush while trying to enter the FNB Stadium before a match between Kaizer Chiefs and Orlando Pirates."
150,-,2017-09-16,3,Bangladesh,Cox's Bazar,"Three Rohingya died trying to collect clothing and food aid at a refugee camp near Cox's Bazar, Bangladesh."
151,-,2017-09-29,22,India,Mumbai,"At least 22 people were killed and hundreds were injured in a stampede that broke out following heavy rains in a footbridge between Parel and Elphinstone road stations in Mumbai, India."
152,-,2017-09-30,0,France,Amiens,"At least 25 French football fans were injured, four of them seriously, when a barrier collapsed during a match involving home team Amiens SC against Lille OSC at the Stade de la Licorne. The incident occurred around a section housing the away Lille OSC fans."
153,-,2017-11-04,3,India,Simaria,"Three women died, and at least 10 other people were injured, on the banks of the Ganges in Simaria Ghat of Begusarai, Bihar during Kartik Purnima."
154,-,2017-11-19,15,Morocco,Sidi Boulaalam,"Fifteen women were killed and forty women injured after breaking down barriers during a food-aid distribution in Sidi Boulaalam, Morocco."
155,Oxford Circus panic,2017-11-24,0,United Kingdom,London,16 people were injured after a false report of gunfire led to a mass panic in Oxford Circus tube station and surrounding streets
156,-,2017-12-18,10,Bangladesh,Chittagong,At least ten people were killed and 50 more injured during the qul khawani of the former Chittagong mayor A.B.M. Mohiuddin Chowdhury when people tried to rush down a sloped gateway into the Rima Community Center.
157,-,2018-01-10,1,India,Rohtas district,"One person died and at least 4 were injured in Rohtas, Bihar, India during an army recruitment drive when the crowd waiting rushed through the gates to get inside."
158,-,2018-05-12,1,Sierra Leone,Freetown,"One person is killed and 20 more are injured during the Sierra Leone presidential inauguration of Julius Maada Bio when a group of spectators trying to enter the venue through the wrong passage were forced back by police, causing the stampede."
159,-,2018-05-14,10,Bangladesh,Chittagong,"At least ten people died and a further 50 were injured in a stampede while collecting alms before Ramadan in Chittagong, Bangladesh."
160,-,2018-05-27,0,India,Bihar Sharif,At least 58 people are injured in the Bihar Sharif train station after an apparent earthquake caused panic among the passengers.
161,El Paraíso stampede,2018-06-16,19,Venezuela,Caracas,"Nineteen people are killed in Caracas, Venezuela following the El Paraíso stampede after a tear gas canister is detonated in a crowded club."
162,-,2018-08-08,2,India,Chennai,"At least two people were killed, and 41 more injured, while entering the lying in state of former Chief Minister of Tamil Nadu Muthuvel Karunanidhi at the Rajaji Hall in Chennai, India."
163,-,2018-09-09,1,Madagascar,Antananarivo,"One person was killed and 40 were injured in Antananarivo, Madagascar at the Mahamasina Municipal Stadium during the 2019 Africa Cup of Nations qualifier between Senegal and Madagascar, after a group of spectators became trapped between a closed entrance gate and an incoming crowd."
164,-,2018-09-17,5,Angola,Luanda,"Five people are killed, and seven injured, leaving the 2018 CAF Champions League Quarterfinal Match between Primeiro de Agosto and TP Mazembe in Luanda, Angola."
165,Corinaldo stampede,2018-12-08,6,Italy,Corinaldo,"Six people were killed and dozens more injured in a human stampede as frantic concertgoers tried to exit a packed Lanterna Azzurra club in Corinaldo, Italy, after pepper spray was fired inside the club."
166,-,2018-12-28,3,South Africa,Pretoria,"The three lost their lives when an apparent stampede broke out at Bushiri's Enlightened Christian Gathering Church. Police confirmed the identity of the three women killed in a stampede at controversial prophet Shepherd Bushiri's church in Pretoria. Preliminary reports indicate that the community assembled at the show grounds to attend Shepherd Bushiri's church service, when the rain started, the congregation started to push each other and the stampede occurred."
167,-,2019-03-17,3,United Kingdom,"Cookstown, Northern Ireland","Three teenagers killed in a human crush on St Patrick's Day while queuing outside The Greenvale Hotel, Cookstown, County Tyrone in Northern Ireland."
168,Antananarivo stampede,2019-06-26,16,Madagascar,Antananarivo,"16 people killed and 101 injured in a human crush in Antananarivo, Madagascar before a concert on their 59th Independence Day at the Mahamasina Municipal Stadium. The show was about to start and people believed they could enter the stadium and began to push, but the police left the doors closed."
169,-,2019-08-22,5,Algeria,Algiers,5 teenagers and young adults killed in a stampede at a Soolking rap concert in the Algerian capital Algiers.
170,-,2019-09-07,0,United States,Austin,"Students at UT Austin attempting to attend the LSU at UT football game at DKR Stadium were told that seats normally guaranteed by their Big Tickets might not be available because of the anticipated large attendance at the game. The South End Zone normally reserved for students was under reconstruction, thus reducing capacity at the stadium by nearly 4,000. Some students report being trampled, but no serious injuries or deaths were reported. The university addressed safety at home games later in the season when officials announced a new entrance policy starting with the Oklahoma State at UT game on 21 September 2019."
171,Karbala stampede,2019-09-10,31,Iraq,Karbala,"At least 31 pilgrims killed and at least 100 others injured in a stampede near a major shrine in the city of Karbala, Iraq, while marking Ashura."
172,Neutro Shorty concert stampede,2019-11-09,3,Venezuela,Caracas,"Three teenagers killed in a stampede before a concert in Caracas, Venezuela."
173,-,2019-12-01,9,Brazil,São Paulo,"Nine people killed in a stampede after a confusion that caused panic at Paraisópolis, São Paulo."
174,Qasem Soleimani funeral Stampede,2020-01-07,56,Iran,Kerman,"At least 56 people killed and 200 injured in a stampede at the funeral of general Qasem Soleimani in Kerman, Iran."
175,-,2020-02-01,20,Tanzania,"Moshi, Kilimanjaro","At least 20 people killed and 16 injured in stampede at a church in Moshi, Kilimanjaro in Tanzania. The incident took place when church faithful were being ushered through an exit so that they could walk on “anointed oil.” More than 4,500 worshipers were attending a prayer meeting led by Boniface Mwamposa, a popular preacher who leads the Arise and Shine Ministry Tanzania."
176,Kakamega Primary School Stampede,2020-02-04,14,Kenya,Kakamega,"14 pupils were killed in a staircase stampede at a primary school in Kakamega, Kenya, when the pupils were leaving for the day."
177,-,2020-02-17,20,Niger,Diffa,"20 people killed in Diffa, Niger when food, clothes and cooking oil were being distributed, mostly to refugees from Nigeria."
178,2020 Maligawatta stampede,2020-05-21,3,Sri Lanka,Maligawatta,"3 people killed in Maligawatta, Sri Lanka when money was being distributed, mostly to area residents on the eve of Ramadan."
179,Los Olivos stampede,2020-08-22,13,Peru,Lima,"At least 13 people killed and 6 injured in the Los Olivos District of Lima, when the National Police of Peru raided the Thomas Restobar nightclub to break up an illegal gathering amid the COVID-19 pandemic in Peru."
180,Afghanistan Visa stampede,2020-10-21,15,Afghanistan,Jalalabad City,"At least 15 killed (11 Women) and many more injured in a stampede at a stadium in Jalalabad, after thousands of people gathered to apply for permits to Pakistan when visa applications resumed after a seven-month pause due to the COVID-19 pandemic."
181,2021 Dar es Salaam stampede,2021-03-21,45,Tanzania,Dar es Salaam,45 people were killed in a stampede at Uhuru Stadium.
182,2021 Meron stampede,2021-04-30,45,Israel,Meron,"At least 45 people were killed and dozens more critically wounded in a stampede at the annual Meron pilgrimage during Lag BaOmer. Organizers estimated that 100,000 people, the vast majority of whom were Ultra-Orthodox Jews and police, arrived on the night of 29 April."
183,Astroworld Festival crowd crush,2021-11-05,10,United States,Houston,"At least 10 people were killed and numerous others were injured in a crowd surge at the Astroworld Festival hosted by rapper Travis Scott at NRG Park in Houston, Texas. 300 people were treated for injuries, and 11 people suffered cardiac arrest."